table_schema,table_name,ordinal_position,column_name,data_type,udt_name,character_maximum_length,is_nullable,column_default
"public","account_security_events","1","id","character varying","varchar","36","NO",""
"public","account_security_events","2","user_id","character varying","varchar","36","YES",""
"public","account_security_events","3","amo_id","character varying","varchar","36","YES",""
"public","account_security_events","4","event_type","character varying","varchar","64","NO",""
"public","account_security_events","5","description","text","text","","YES",""
"public","account_security_events","6","ip_address","character varying","varchar","64","YES",""
"public","account_security_events","7","user_agent","text","text","","YES",""
"public","account_security_events","8","created_at","timestamp with time zone","timestamptz","","NO",""
"public","accounting_periods","1","id","integer","int4","","NO","nextval('accounting_periods_id_seq'::regclass)"
"public","accounting_periods","2","amo_id","character varying","varchar","36","NO",""
"public","accounting_periods","3","period","character varying","varchar","16","NO",""
"public","accounting_periods","4","status","USER-DEFINED","accounting_period_status_enum","","NO",""
"public","accounting_periods","5","closed_at","timestamp with time zone","timestamptz","","YES",""
"public","accounting_periods","6","closed_by_user_id","character varying","varchar","36","YES",""
"public","acknowledgements","1","id","character varying","varchar","36","NO",""
"public","acknowledgements","2","revision_id","character varying","varchar","36","NO",""
"public","acknowledgements","3","holder_user_id","character varying","varchar","36","YES",""
"public","acknowledgements","4","assigned_at","timestamp with time zone","timestamptz","","NO",""
"public","acknowledgements","5","due_at","timestamp with time zone","timestamptz","","NO",""
"public","acknowledgements","6","acknowledged_at","timestamp with time zone","timestamptz","","YES",""
"public","acknowledgements","7","acknowledgement_text","text","text","","YES",""
"public","acknowledgements","8","evidence_uri","text","text","","YES",""
"public","acknowledgements","9","status_enum","character varying","varchar","32","NO",""
"public","aircraft","1","serial_number","character varying","varchar","50","NO",""
"public","aircraft","2","registration","character varying","varchar","20","NO",""
"public","aircraft","3","template","character varying","varchar","50","YES",""
"public","aircraft","4","make","character varying","varchar","50","YES",""
"public","aircraft","5","model","character varying","varchar","50","YES",""
"public","aircraft","6","home_base","character varying","varchar","10","YES",""
"public","aircraft","7","owner","character varying","varchar","255","YES",""
"public","aircraft","8","status","character varying","varchar","20","NO",""
"public","aircraft","9","is_active","boolean","bool","","NO",""
"public","aircraft","10","last_log_date","date","date","","YES",""
"public","aircraft","11","total_hours","double precision","float8","","YES",""
"public","aircraft","12","total_cycles","double precision","float8","","YES",""
"public","aircraft","13","created_at","timestamp with time zone","timestamptz","","NO",""
"public","aircraft","14","updated_at","timestamp with time zone","timestamptz","","NO",""
"public","aircraft","15","aircraft_model_code","character varying","varchar","32","YES",""
"public","aircraft","16","operator_code","character varying","varchar","5","YES",""
"public","aircraft","17","supplier_code","character varying","varchar","5","YES",""
"public","aircraft","18","company_name","character varying","varchar","255","YES",""
"public","aircraft","19","internal_aircraft_identifier","character varying","varchar","50","YES",""
"public","aircraft","20","verification_status","character varying","varchar","32","NO",""
"public","aircraft","21","amo_id","character varying","varchar","36","NO",""
"public","aircraft_components","1","id","integer","int4","","NO","nextval('aircraft_components_id_seq'::regclass)"
"public","aircraft_components","2","aircraft_serial_number","character varying","varchar","50","NO",""
"public","aircraft_components","3","position","character varying","varchar","50","NO",""
"public","aircraft_components","4","ata","character varying","varchar","20","YES",""
"public","aircraft_components","5","part_number","character varying","varchar","50","YES",""
"public","aircraft_components","6","serial_number","character varying","varchar","50","YES",""
"public","aircraft_components","7","description","character varying","varchar","255","YES",""
"public","aircraft_components","8","installed_date","date","date","","YES",""
"public","aircraft_components","9","installed_hours","double precision","float8","","YES",""
"public","aircraft_components","10","installed_cycles","double precision","float8","","YES",""
"public","aircraft_components","11","current_hours","double precision","float8","","YES",""
"public","aircraft_components","12","current_cycles","double precision","float8","","YES",""
"public","aircraft_components","13","notes","text","text","","YES",""
"public","aircraft_components","14","tbo_hours","double precision","float8","","YES",""
"public","aircraft_components","15","tbo_cycles","double precision","float8","","YES",""
"public","aircraft_components","16","tbo_calendar_months","integer","int4","","YES",""
"public","aircraft_components","17","hsi_hours","double precision","float8","","YES",""
"public","aircraft_components","18","hsi_cycles","double precision","float8","","YES",""
"public","aircraft_components","19","hsi_calendar_months","integer","int4","","YES",""
"public","aircraft_components","20","last_overhaul_date","date","date","","YES",""
"public","aircraft_components","21","last_overhaul_hours","double precision","float8","","YES",""
"public","aircraft_components","22","last_overhaul_cycles","double precision","float8","","YES",""
"public","aircraft_components","23","manufacturer_code","character varying","varchar","32","YES",""
"public","aircraft_components","24","operator_code","character varying","varchar","32","YES",""
"public","aircraft_components","25","unit_of_measure_hours","character varying","varchar","8","NO",""
"public","aircraft_components","26","unit_of_measure_cycles","character varying","varchar","8","NO",""
"public","aircraft_components","27","verification_status","character varying","varchar","32","NO",""
"public","aircraft_components","28","amo_id","character varying","varchar","36","NO",""
"public","aircraft_components","29","removed_date","date","date","","YES",""
"public","aircraft_components","30","is_installed","boolean","bool","","NO","true"
"public","aircraft_configuration_events","1","id","integer","int4","","NO","nextval('aircraft_configuration_events_id_seq'::regclass)"
"public","aircraft_configuration_events","2","amo_id","character varying","varchar","36","NO",""
"public","aircraft_configuration_events","3","aircraft_serial_number","character varying","varchar","50","YES",""
"public","aircraft_configuration_events","4","component_instance_id","integer","int4","","YES",""
"public","aircraft_configuration_events","5","occurred_at","timestamp with time zone","timestamptz","","NO",""
"public","aircraft_configuration_events","6","event_type","character varying","varchar","7","NO",""
"public","aircraft_configuration_events","7","position","character varying","varchar","50","YES",""
"public","aircraft_configuration_events","8","part_number","character varying","varchar","50","YES",""
"public","aircraft_configuration_events","9","serial_number","character varying","varchar","50","YES",""
"public","aircraft_configuration_events","10","from_part_number","character varying","varchar","50","YES",""
"public","aircraft_configuration_events","11","from_serial_number","character varying","varchar","50","YES",""
"public","aircraft_configuration_events","12","work_order_id","integer","int4","","YES",""
"public","aircraft_configuration_events","13","task_card_id","integer","int4","","YES",""
"public","aircraft_configuration_events","14","removal_tracking_id","character varying","varchar","36","YES",""
"public","aircraft_configuration_events","15","created_at","timestamp with time zone","timestamptz","","NO",""
"public","aircraft_documents","1","id","integer","int4","","NO","nextval('aircraft_documents_id_seq'::regclass)"
"public","aircraft_documents","2","aircraft_serial_number","character varying","varchar","50","NO",""
"public","aircraft_documents","3","document_type","character varying","varchar","32","NO",""
