table_schema,table_name,constraint_name,constraint_type,columns
"public","account_security_events","pk_account_security_events","PRIMARY KEY","id"
"public","accounting_periods","pk_accounting_periods","PRIMARY KEY","id"
"public","accounting_periods","uq_accounting_period","UNIQUE","amo_id, period"
"public","acknowledgements","pk_acknowledgements","PRIMARY KEY","id"
"public","aircraft","pk_aircraft","PRIMARY KEY","serial_number"
"public","aircraft","uq_aircraft_amo_registration","UNIQUE","amo_id, registration"
"public","aircraft","uq_aircraft_registration","UNIQUE","registration"
"public","aircraft_components","pk_aircraft_components","PRIMARY KEY","id"
"public","aircraft_components","uq_aircraft_component_aircraft_position","UNIQUE","aircraft_serial_number, position"
"public","aircraft_configuration_events","pk_aircraft_configuration_events","PRIMARY KEY","id"
"public","aircraft_documents","pk_aircraft_documents","PRIMARY KEY","id"
"public","aircraft_documents","uq_aircraft_document_unique","UNIQUE","aircraft_serial_number, document_type, authority"
"public","aircraft_import_preview_rows","pk_aircraft_import_preview_rows","PRIMARY KEY","id"
"public","aircraft_import_preview_sessions","pk_aircraft_import_preview_sessions","PRIMARY KEY","preview_id"
"public","aircraft_import_reconciliation_logs","pk_aircraft_import_reconciliation_logs","PRIMARY KEY","id"
"public","aircraft_import_snapshots","pk_aircraft_import_snapshots","PRIMARY KEY","id"
"public","aircraft_import_templates","pk_aircraft_import_templates","PRIMARY KEY","id"
"public","aircraft_import_templates","uq_aircraft_import_template_type_name","UNIQUE","template_type, name"
"public","aircraft_program_items","pk_aircraft_program_items","PRIMARY KEY","id"
"public","aircraft_program_items","uq_aircraft_program_items_aircraft_program_component","UNIQUE","aircraft_serial_number, program_item_id, aircraft_component_id"
"public","aircraft_usage","pk_aircraft_usage","PRIMARY KEY","id"
"public","aircraft_usage","uq_aircraft_usage_aircraft_date_techlog","UNIQUE","aircraft_serial_number, date, techlog_no"
"public","aircraft_utilization_daily","pk_aircraft_utilization_daily","PRIMARY KEY","id"
"public","aircraft_utilization_daily","uq_aircraft_utilization_date","UNIQUE","aircraft_serial_number, date"
"public","alembic_version","alembic_version_pkc","PRIMARY KEY","version_num"
"public","amo_assets","pk_amo_assets","PRIMARY KEY","id"
"public","amos","pk_amos","PRIMARY KEY","id"
"public","amp_program_items","pk_amp_program_items","PRIMARY KEY","id"
"public","amp_program_items","uq_amp_program_items_template_task_code","UNIQUE","template_code, task_code"
"public","amp_program_items","uq_amp_program_items_template_task_number","UNIQUE","template_code, task_number"
"public","audit_events","pk_audit_events","PRIMARY KEY","id"
"public","auth_capability_definitions","pk_auth_capability_definitions","PRIMARY KEY","id"
"public","auth_capability_definitions","uq_auth_capability_definitions_code","UNIQUE","code"
"public","auth_postholder_assignments","pk_auth_postholder_assignments","PRIMARY KEY","id"
"public","auth_postholder_assignments","uq_auth_postholder_assignment","UNIQUE","amo_id, postholder_code, user_id"
"public","auth_role_capability_bindings","pk_auth_role_capability_bindings","PRIMARY KEY","id"
"public","auth_role_capability_bindings","uq_auth_role_capability_bindings_pair","UNIQUE","role_id, capability_id"
"public","auth_role_definitions","pk_auth_role_definitions","PRIMARY KEY","id"
"public","auth_role_definitions","uq_auth_role_definitions_code","UNIQUE","code"
"public","auth_sod_policy_rules","pk_auth_sod_policy_rules","PRIMARY KEY","id"
"public","auth_sod_policy_rules","uq_auth_sod_policy_rule","UNIQUE","amo_id, rule_code"
"public","auth_user_role_assignments","pk_auth_user_role_assignments","PRIMARY KEY","id"
"public","authorisation_types","pk_authorisation_types","PRIMARY KEY","id"
"public","authorisation_types","uq_auth_types_amo_code","UNIQUE","amo_id, code"
"public","base_station_aliases","pk_base_station_aliases","PRIMARY KEY","id"
"public","base_station_aliases","uq_base_station_aliases_amo_alias","UNIQUE","amo_id, alias"
"public","base_stations","pk_base_stations","PRIMARY KEY","id"
"public","base_stations","uq_base_stations_amo_code","UNIQUE","amo_id, code"
"public","billing_audit_logs","pk_billing_audit_logs","PRIMARY KEY","id"
"public","billing_invoices","pk_billing_invoices","PRIMARY KEY","id"
"public","billing_invoices","uq_invoice_idempotency","UNIQUE","amo_id, idempotency_key"
"public","catalog_skus","pk_catalog_skus","PRIMARY KEY","id"
"public","catalog_skus","uq_catalog_skus_code","UNIQUE","code"
"public","chat_messages","pk_chat_messages","PRIMARY KEY","id"
"public","chat_messages","uq_chat_messages_sender_client_msg","UNIQUE","sender_id, client_msg_id"
"public","chat_thread_members","pk_chat_thread_members","PRIMARY KEY","id"
"public","chat_thread_members","uq_chat_thread_members_thread_user","UNIQUE","thread_id, user_id"
"public","chat_threads","pk_chat_threads","PRIMARY KEY","id"
"public","compliance_event_ledger","pk_compliance_event_ledger","PRIMARY KEY","id"
"public","component_instances","pk_component_instances","PRIMARY KEY","id"
"public","component_instances","uq_component_instance_amo_pn_sn","UNIQUE","amo_id, part_number, serial_number"
"public","crs","pk_crs","PRIMARY KEY","id"
"public","crs_signoff","pk_crs_signoff","PRIMARY KEY","id"
"public","crs_signoff","uq_crs_signoff_crs_category","UNIQUE","crs_id, category"
"public","currencies","pk_currencies","PRIMARY KEY","id"
"public","currencies","uq_currency_code","UNIQUE","code"
"public","custody_logs","pk_custody_logs","PRIMARY KEY","id"
"public","customers","pk_customers","PRIMARY KEY","id"
"public","customers","uq_customer_code","UNIQUE","amo_id, code"
"public","defect_reports","pk_defect_reports","PRIMARY KEY","id"
"public","defect_reports","uq_defect_report_idempotency","UNIQUE","amo_id, idempotency_key"
"public","defect_reports","uq_defect_report_operator_event","UNIQUE","amo_id, operator_event_id"
"public","departments","pk_departments","PRIMARY KEY","id"
"public","departments","uq_departments_amo_code","UNIQUE","amo_id, code"
"public","doc_control_acknowledgements","pk_doc_control_acknowledgements","PRIMARY KEY","ack_id"
"public","doc_control_archive_records","pk_doc_control_archive_records","PRIMARY KEY","archive_id"
"public","doc_control_audit_events","pk_doc_control_audit_events","PRIMARY KEY","id"
"public","doc_control_change_proposals","pk_doc_control_change_proposals","PRIMARY KEY","proposal_id"
"public","doc_control_distribution_events","pk_doc_control_distribution_events","PRIMARY KEY","event_id"
"public","doc_control_distribution_list_entries","pk_doc_control_distribution_list_entries","PRIMARY KEY","entry_id"
"public","doc_control_distribution_recipients","pk_doc_control_distribution_recipients","PRIMARY KEY","id"
"public","doc_control_documents","pk_doc_control_documents","PRIMARY KEY","id"
"public","doc_control_documents","uq_doc_control_documents_tenant_doc_id","UNIQUE","tenant_id, doc_id"
"public","doc_control_drafts","pk_doc_control_drafts","PRIMARY KEY","draft_id"
"public","doc_control_leps","pk_doc_control_leps","PRIMARY KEY","lep_id"
"public","doc_control_reviews","pk_doc_control_reviews","PRIMARY KEY","review_id"
"public","doc_control_revision_packages","pk_doc_control_revision_packages","PRIMARY KEY","package_id"
"public","doc_control_settings","pk_doc_control_settings","PRIMARY KEY","tenant_id"
"public","doc_control_temporary_revisions","pk_doc_control_temporary_revisions","PRIMARY KEY","tr_id"
"public","document_sections","pk_document_sections","PRIMARY KEY","id"
"public","document_versions","pk_document_versions","PRIMARY KEY","id"
"public","ehm_parsed_records","pk_ehm_parsed_records","PRIMARY KEY","id"
"public","ehm_raw_logs","pk_ehm_raw_logs","PRIMARY KEY","id"
"public","ehm_raw_logs","uq_ehm_log_dedupe","UNIQUE","amo_id, sha256_hash, aircraft_serial_number, engine_position"
"public","email_logs","pk_email_logs","PRIMARY KEY","id"
"public","engine_flight_snapshots","pk_engine_flight_snapshots","PRIMARY KEY","id"
"public","engine_flight_snapshots","uq_engine_snapshot_flight","UNIQUE","aircraft_serial_number, engine_position, flight_date, flight_leg"
"public","engine_trend_statuses","pk_engine_trend_statuses","PRIMARY KEY","id"
"public","engine_trend_statuses","uq_engine_trend_status_engine","UNIQUE","amo_id, aircraft_serial_number, engine_position, engine_serial_number"
"public","engine_utilization_daily","pk_engine_utilization_daily","PRIMARY KEY","id"
"public","engine_utilization_daily","uq_engine_utilization_date","UNIQUE","aircraft_serial_number, engine_position, date"
"public","finance_credit_notes","pk_finance_credit_notes","PRIMARY KEY","id"
"public","finance_credit_notes","uq_credit_note_idempotency","UNIQUE","amo_id, idempotency_key"
"public","finance_credit_notes","uq_credit_note_number","UNIQUE","amo_id, credit_note_number"
"public","finance_invoice_lines","pk_finance_invoice_lines","PRIMARY KEY","id"
"public","finance_invoices","pk_finance_invoices","PRIMARY KEY","id"
"public","finance_invoices","uq_finance_invoice_idempotency","UNIQUE","amo_id, idempotency_key"
"public","finance_invoices","uq_invoice_number","UNIQUE","amo_id, invoice_number"
"public","finance_payments","pk_finance_payments","PRIMARY KEY","id"
"public","finance_payments","uq_payment_idempotency","UNIQUE","amo_id, idempotency_key"
"public","fracas_actions","pk_fracas_actions","PRIMARY KEY","id"
"public","fracas_cases","pk_fracas_cases","PRIMARY KEY","id"
"public","gl_accounts","pk_gl_accounts","PRIMARY KEY","id"
"public","gl_accounts","uq_gl_account_code","UNIQUE","amo_id, code"
"public","goods_receipt_lines","pk_goods_receipt_lines","PRIMARY KEY","id"
"public","goods_receipts","pk_goods_receipts","PRIMARY KEY","id"
"public","idempotency_keys","pk_idempotency_keys","PRIMARY KEY","id"
"public","idempotency_keys","uq_idempotency_scope_key","UNIQUE","scope, key"
"public","inspector_signoffs","pk_inspector_signoffs","PRIMARY KEY","id"
"public","integration_configs","pk_integration_configs","PRIMARY KEY","id"
"public","integration_configs","uq_integration_configs_amo_key","UNIQUE","amo_id, integration_key"
"public","integration_inbound_events","pk_integration_inbound_events","PRIMARY KEY","id"
"public","integration_inbound_events","uq_integration_inbound_amo_integration_idempotency","UNIQUE","amo_id, integration_id, idempotency_key"
"public","integration_outbound_events","pk_integration_outbound_events","PRIMARY KEY","id"
"public","integration_outbound_events","uq_integration_outbound_amo_idempotency","UNIQUE","amo_id, idempotency_key"
"public","inventory_locations","pk_inventory_locations","PRIMARY KEY","id"
"public","inventory_locations","uq_inventory_location_code","UNIQUE","amo_id, code"
"public","inventory_lots","pk_inventory_lots","PRIMARY KEY","id"
"public","inventory_lots","uq_inventory_lot","UNIQUE","amo_id, part_id, lot_number"
"public","inventory_movement_ledger","pk_inventory_movement_ledger","PRIMARY KEY","id"
"public","inventory_movement_ledger","uq_inventory_ledger_idempotency","UNIQUE","amo_id, idempotency_key"
"public","inventory_parts","pk_inventory_parts","PRIMARY KEY","id"
"public","inventory_parts","uq_inventory_part_number","UNIQUE","amo_id, part_number"
"public","inventory_serials","pk_inventory_serials","PRIMARY KEY","id"
"public","inventory_serials","uq_inventory_serial","UNIQUE","amo_id, part_id, serial_number"
"public","journal_entries","pk_journal_entries","PRIMARY KEY","id"
"public","journal_lines","pk_journal_lines","PRIMARY KEY","id"
"public","ledger_entries","pk_ledger_entries","PRIMARY KEY","id"
"public","ledger_entries","uq_ledger_entry_idempotent","UNIQUE","amo_id, idempotency_key"
"public","license_entitlements","pk_license_entitlements","PRIMARY KEY","id"
"public","license_entitlements","uq_license_entitlement_unique","UNIQUE","license_id, key"
"public","maintenance_program_items_legacy","pk_maintenance_program_items","PRIMARY KEY","id"
"public","maintenance_program_items_legacy","uq_maintenance_program_item_template_ata_task","UNIQUE","aircraft_template, ata_chapter, task_code"
"public","maintenance_statuses_legacy","pk_maintenance_statuses","PRIMARY KEY","id"
"public","maintenance_statuses_legacy","uq_maintenance_status_aircraft_program_item","UNIQUE","aircraft_serial_number, program_item_id"
"public","manual_audit_log","pk_manual_audit_log","PRIMARY KEY","id"
"public","manual_blocks","pk_manual_blocks","PRIMARY KEY","id"
"public","manual_reader_progress","pk_manual_reader_progress","PRIMARY KEY","id"
"public","manual_reader_progress","uq_manual_reader_progress_revision_user","UNIQUE","revision_id, user_id"
"public","manual_revisions","pk_manual_revisions","PRIMARY KEY","id"
"public","manual_revisions","uq_manual_rev_number","UNIQUE","manual_id, rev_number"
"public","manual_sections","pk_manual_sections","PRIMARY KEY","id"
"public","manual_tenants","pk_manual_tenants","PRIMARY KEY","id"
"public","manual_tenants","uq_manual_tenants_amo_id","UNIQUE","amo_id"
"public","manual_tenants","uq_manual_tenants_slug","UNIQUE","slug"
"public","manuals","pk_manuals","PRIMARY KEY","id"
"public","manuals","uq_manual_code_tenant","UNIQUE","tenant_id, code"
"public","message_receipts","pk_message_receipts","PRIMARY KEY","id"
"public","message_receipts","uq_message_receipts_message_user","UNIQUE","message_id, user_id"
"public","module_subscriptions","pk_module_subscriptions","PRIMARY KEY","id"
