table_schema,table_name,constraint_name,columns,foreign_table_schema,foreign_table_name,foreign_columns
"public","account_security_events","fk_account_security_events_amo_id_amos","amo_id","public","amos","id"
"public","account_security_events","fk_account_security_events_user_id_users","user_id","public","users","id"
"public","accounting_periods","fk_accounting_periods_amo_id_amos","amo_id","public","amos","id"
"public","accounting_periods","fk_accounting_periods_closed_by_user_id_users","closed_by_user_id","public","users","id"
"public","acknowledgements","fk_acknowledgements_holder_user_id_users","holder_user_id","public","users","id"
"public","acknowledgements","fk_acknowledgements_revision_id_manual_revisions","revision_id","public","manual_revisions","id"
"public","aircraft","fk_aircraft_amo_id_amos","amo_id","public","amos","id"
"public","aircraft_components","fk_aircraft_components_aircraft_serial_number_aircraft","aircraft_serial_number","public","aircraft","serial_number"
"public","aircraft_components","fk_aircraft_components_amo_id_amos","amo_id","public","amos","id"
"public","aircraft_configuration_events","fk_aircraft_configuration_events_aircraft_serial_number_c668","aircraft_serial_number","public","aircraft","serial_number"
"public","aircraft_configuration_events","fk_aircraft_configuration_events_amo_id_amos","amo_id","public","amos","id"
"public","aircraft_configuration_events","fk_aircraft_configuration_events_component_instance_id__e470","component_instance_id","public","component_instances","id"
"public","aircraft_configuration_events","fk_aircraft_configuration_events_task_card_id_task_cards","task_card_id","public","task_cards","id"
"public","aircraft_configuration_events","fk_aircraft_configuration_events_work_order_id_work_orders","work_order_id","public","work_orders","id"
"public","aircraft_documents","fk_aircraft_documents_aircraft_serial_number_aircraft","aircraft_serial_number","public","aircraft","serial_number"
"public","aircraft_documents","fk_aircraft_documents_last_uploaded_by_user_id_users","last_uploaded_by_user_id","public","users","id"
"public","aircraft_documents","fk_aircraft_documents_override_by_user_id_users","override_by_user_id","public","users","id"
"public","aircraft_import_preview_rows","fk_aircraft_import_preview_rows_preview_id_aircraft_imp_0cd0","preview_id","public","aircraft_import_preview_sessions","preview_id"
"public","aircraft_import_preview_sessions","fk_aircraft_import_preview_sessions_created_by_user_id_users","created_by_user_id","public","users","id"
"public","aircraft_import_reconciliation_logs","fk_aircraft_import_reconciliation_logs_created_by_user_id_users","created_by_user_id","public","users","id"
"public","aircraft_import_reconciliation_logs","fk_aircraft_import_reconciliation_logs_snapshot_id_airc_8d0c","snapshot_id","public","aircraft_import_snapshots","id"
"public","aircraft_import_snapshots","fk_aircraft_import_snapshots_created_by_user_id_users","created_by_user_id","public","users","id"
"public","aircraft_program_items","fk_aircraft_program_items_aircraft_component_id_aircraf_0236","aircraft_component_id","public","aircraft_components","id"
"public","aircraft_program_items","fk_aircraft_program_items_aircraft_serial_number_aircraft","aircraft_serial_number","public","aircraft","serial_number"
"public","aircraft_program_items","fk_aircraft_program_items_created_by_user_id_users","created_by_user_id","public","users","id"
"public","aircraft_program_items","fk_aircraft_program_items_program_item_id_amp_program_items","program_item_id","public","amp_program_items","id"
"public","aircraft_program_items","fk_aircraft_program_items_updated_by_user_id_users","updated_by_user_id","public","users","id"
"public","aircraft_usage","fk_aircraft_usage_aircraft_serial_number_aircraft","aircraft_serial_number","public","aircraft","serial_number"
"public","aircraft_usage","fk_aircraft_usage_amo_id_amos","amo_id","public","amos","id"
"public","aircraft_usage","fk_aircraft_usage_created_by_user_id_users","created_by_user_id","public","users","id"
"public","aircraft_usage","fk_aircraft_usage_updated_by_user_id_users","updated_by_user_id","public","users","id"
"public","aircraft_utilization_daily","fk_aircraft_utilization_daily_aircraft_serial_number_aircraft","aircraft_serial_number","public","aircraft","serial_number"
"public","aircraft_utilization_daily","fk_aircraft_utilization_daily_amo_id_amos","amo_id","public","amos","id"
"public","amo_assets","fk_amo_assets_amo_id_amos","amo_id","public","amos","id"
"public","amo_assets","fk_amo_assets_uploaded_by_user_id_users","uploaded_by_user_id","public","users","id"
"public","amp_program_items","fk_amp_program_items_created_by_user_id_users","created_by_user_id","public","users","id"
"public","amp_program_items","fk_amp_program_items_updated_by_user_id_users","updated_by_user_id","public","users","id"
"public","audit_events","fk_audit_events_actor_user_id_users","actor_user_id","public","users","id"
"public","audit_events","fk_audit_events_amo_id_amos","amo_id","public","amos","id"
"public","auth_postholder_assignments","fk_auth_postholder_assignments_amo_id_amos","amo_id","public","amos","id"
"public","auth_postholder_assignments","fk_auth_postholder_assignments_assigned_by_user_id_users","assigned_by_user_id","public","users","id"
"public","auth_postholder_assignments","fk_auth_postholder_assignments_delegated_to_user_id_users","delegated_to_user_id","public","users","id"
"public","auth_postholder_assignments","fk_auth_postholder_assignments_department_id_departments","department_id","public","departments","id"
"public","auth_postholder_assignments","fk_auth_postholder_assignments_user_id_users","user_id","public","users","id"
"public","auth_role_capability_bindings","fk_auth_role_capability_bindings_capability_id_auth_cap_d68b","capability_id","public","auth_capability_definitions","id"
"public","auth_role_capability_bindings","fk_auth_role_capability_bindings_role_id_auth_role_definitions","role_id","public","auth_role_definitions","id"
"public","auth_sod_policy_rules","fk_auth_sod_policy_rules_amo_id_amos","amo_id","public","amos","id"
"public","auth_user_role_assignments","fk_auth_user_role_assignments_amo_id_amos","amo_id","public","amos","id"
"public","auth_user_role_assignments","fk_auth_user_role_assignments_assigned_by_user_id_users","assigned_by_user_id","public","users","id"
"public","auth_user_role_assignments","fk_auth_user_role_assignments_department_id_departments","department_id","public","departments","id"
"public","auth_user_role_assignments","fk_auth_user_role_assignments_role_id_auth_role_definitions","role_id","public","auth_role_definitions","id"
"public","auth_user_role_assignments","fk_auth_user_role_assignments_user_id_users","user_id","public","users","id"
"public","authorisation_types","fk_authorisation_types_amo_id_amos","amo_id","public","amos","id"
"public","base_station_aliases","fk_base_station_aliases_amo_id_amos","amo_id","public","amos","id"
"public","base_station_aliases","fk_base_station_aliases_base_station_id_base_stations","base_station_id","public","base_stations","id"
"public","base_stations","fk_base_stations_amo_id_amos","amo_id","public","amos","id"
"public","base_stations","fk_base_stations_created_by_user_id_users","created_by_user_id","public","users","id"
"public","base_stations","fk_base_stations_updated_by_user_id_users","updated_by_user_id","public","users","id"
"public","billing_audit_logs","fk_billing_audit_logs_amo_id_amos","amo_id","public","amos","id"
"public","billing_invoices","fk_billing_invoices_amo_id_amos","amo_id","public","amos","id"
"public","billing_invoices","fk_billing_invoices_ledger_entry_id_ledger_entries","ledger_entry_id","public","ledger_entries","id"
"public","billing_invoices","fk_billing_invoices_license_id_tenant_licenses","license_id","public","tenant_licenses","id"
"public","chat_messages","fk_chat_messages_amo_id_amos","amo_id","public","amos","id"
"public","chat_messages","fk_chat_messages_sender_id_users","sender_id","public","users","id"
"public","chat_messages","fk_chat_messages_thread_id_chat_threads","thread_id","public","chat_threads","id"
"public","chat_thread_members","fk_chat_thread_members_thread_id_chat_threads","thread_id","public","chat_threads","id"
"public","chat_thread_members","fk_chat_thread_members_user_id_users","user_id","public","users","id"
"public","chat_threads","fk_chat_threads_amo_id_amos","amo_id","public","amos","id"
"public","chat_threads","fk_chat_threads_created_by_users","created_by","public","users","id"
"public","compliance_event_ledger","fk_compliance_event_ledger_actor_user_id_users","actor_user_id","public","users","id"
"public","compliance_event_ledger","fk_compliance_event_ledger_amo_id_amos","amo_id","public","amos","id"
"public","component_instances","fk_component_instances_amo_id_amos","amo_id","public","amos","id"
"public","crs","fk_crs_aircraft_serial_number_aircraft","aircraft_serial_number","public","aircraft","serial_number"
"public","crs","fk_crs_created_by_id_users","created_by_id","public","users","id"
"public","crs","fk_crs_work_order_id_work_orders","work_order_id","public","work_orders","id"
"public","crs_signoff","fk_crs_signoff_crs_id_crs","crs_id","public","crs","id"
"public","custody_logs","fk_custody_logs_amo_id_amos","amo_id","public","amos","id"
"public","custody_logs","fk_custody_logs_physical_copy_id_physical_controlled_copies","physical_copy_id","public","physical_controlled_copies","id"
"public","custody_logs","fk_custody_logs_user_id_users","user_id","public","users","id"
"public","customers","fk_customers_amo_id_amos","amo_id","public","amos","id"
"public","defect_reports","fk_defect_reports_aircraft_serial_number_aircraft","aircraft_serial_number","public","aircraft","serial_number"
"public","defect_reports","fk_defect_reports_amo_id_amos","amo_id","public","amos","id"
"public","defect_reports","fk_defect_reports_created_by_user_id_users","created_by_user_id","public","users","id"
"public","defect_reports","fk_defect_reports_task_card_id_task_cards","task_card_id","public","task_cards","id"
"public","defect_reports","fk_defect_reports_work_order_id_work_orders","work_order_id","public","work_orders","id"
"public","departments","fk_departments_amo_id_amos","amo_id","public","amos","id"
"public","doc_control_acknowledgements","fk_doc_control_acknowledgements_event_id_doc_control_di_0190","event_id","public","doc_control_distribution_events","event_id"
"public","doc_control_acknowledgements","fk_doc_control_acknowledgements_recipient_user_id_users","recipient_user_id","public","users","id"
"public","doc_control_acknowledgements","fk_doc_control_acknowledgements_tenant_id_amos","tenant_id","public","amos","id"
"public","doc_control_archive_records","fk_doc_control_archive_records_tenant_id_amos","tenant_id","public","amos","id"
"public","doc_control_audit_events","fk_doc_control_audit_events_actor_user_id_users","actor_user_id","public","users","id"
"public","doc_control_audit_events","fk_doc_control_audit_events_tenant_id_amos","tenant_id","public","amos","id"
"public","doc_control_change_proposals","fk_doc_control_change_proposals_proposer_user_id_users","proposer_user_id","public","users","id"
"public","doc_control_change_proposals","fk_doc_control_change_proposals_tenant_id_amos","tenant_id","public","amos","id"
"public","doc_control_distribution_events","fk_doc_control_distribution_events_tenant_id_amos","tenant_id","public","amos","id"
"public","doc_control_distribution_list_entries","fk_doc_control_distribution_list_entries_tenant_id_amos","tenant_id","public","amos","id"
"public","doc_control_distribution_recipients","fk_doc_control_distribution_recipients_event_id_doc_con_600c","event_id","public","doc_control_distribution_events","event_id"
"public","doc_control_distribution_recipients","fk_doc_control_distribution_recipients_recipient_user_id_users","recipient_user_id","public","users","id"
"public","doc_control_distribution_recipients","fk_doc_control_distribution_recipients_tenant_id_amos","tenant_id","public","amos","id"
"public","doc_control_documents","fk_doc_control_documents_tenant_id_amos","tenant_id","public","amos","id"
"public","doc_control_drafts","fk_doc_control_drafts_tenant_id_amos","tenant_id","public","amos","id"
"public","doc_control_leps","fk_doc_control_leps_tenant_id_amos","tenant_id","public","amos","id"
"public","doc_control_reviews","fk_doc_control_reviews_tenant_id_amos","tenant_id","public","amos","id"
"public","doc_control_revision_packages","fk_doc_control_revision_packages_tenant_id_amos","tenant_id","public","amos","id"
"public","doc_control_settings","fk_doc_control_settings_tenant_id_amos","tenant_id","public","amos","id"
"public","doc_control_temporary_revisions","fk_doc_control_temporary_revisions_tenant_id_amos","tenant_id","public","amos","id"
"public","document_sections","fk_document_sections_document_version_id_document_versions","document_version_id","public","document_versions","id"
"public","document_versions","fk_document_versions_document_id_manuals","document_id","public","manuals","id"
"public","document_versions","fk_document_versions_revision_id_manual_revisions","revision_id","public","manual_revisions","id"
"public","ehm_parsed_records","fk_ehm_parsed_records_amo_id_amos","amo_id","public","amos","id"
"public","ehm_parsed_records","fk_ehm_parsed_records_raw_log_id_ehm_raw_logs","raw_log_id","public","ehm_raw_logs","id"
"public","ehm_raw_logs","fk_ehm_raw_logs_aircraft_serial_number_aircraft","aircraft_serial_number","public","aircraft","serial_number"
"public","ehm_raw_logs","fk_ehm_raw_logs_amo_id_amos","amo_id","public","amos","id"
"public","ehm_raw_logs","fk_ehm_raw_logs_uploaded_by_user_id_users","uploaded_by_user_id","public","users","id"
"public","email_logs","fk_email_logs_amo_id_amos","amo_id","public","amos","id"
"public","engine_flight_snapshots","fk_engine_flight_snapshots_aircraft_serial_number_aircraft","aircraft_serial_number","public","aircraft","serial_number"
"public","engine_flight_snapshots","fk_engine_flight_snapshots_amo_id_amos","amo_id","public","amos","id"
"public","engine_trend_statuses","fk_engine_trend_statuses_aircraft_serial_number_aircraft","aircraft_serial_number","public","aircraft","serial_number"
"public","engine_trend_statuses","fk_engine_trend_statuses_amo_id_amos","amo_id","public","amos","id"
"public","engine_trend_statuses","fk_engine_trend_statuses_reviewed_by_user_id_users","reviewed_by_user_id","public","users","id"
"public","engine_utilization_daily","fk_engine_utilization_daily_aircraft_serial_number_aircraft","aircraft_serial_number","public","aircraft","serial_number"
"public","engine_utilization_daily","fk_engine_utilization_daily_amo_id_amos","amo_id","public","amos","id"
"public","finance_credit_notes","fk_finance_credit_notes_amo_id_amos","amo_id","public","amos","id"
"public","finance_credit_notes","fk_finance_credit_notes_customer_id_customers","customer_id","public","customers","id"
"public","finance_credit_notes","fk_finance_credit_notes_finalized_by_user_id_users","finalized_by_user_id","public","users","id"
"public","finance_credit_notes","fk_finance_credit_notes_invoice_id_finance_invoices","invoice_id","public","finance_invoices","id"
"public","finance_invoice_lines","fk_finance_invoice_lines_inventory_movement_id_inventor_8b4d","inventory_movement_id","public","inventory_movement_ledger","id"
"public","finance_invoice_lines","fk_finance_invoice_lines_invoice_id_finance_invoices","invoice_id","public","finance_invoices","id"
"public","finance_invoice_lines","fk_finance_invoice_lines_tax_code_id_tax_codes","tax_code_id","public","tax_codes","id"
"public","finance_invoice_lines","fk_finance_invoice_lines_work_order_id_work_orders","work_order_id","public","work_orders","id"
"public","finance_invoices","fk_finance_invoices_amo_id_amos","amo_id","public","amos","id"
"public","finance_invoices","fk_finance_invoices_customer_id_customers","customer_id","public","customers","id"
"public","finance_invoices","fk_finance_invoices_finalized_by_user_id_users","finalized_by_user_id","public","users","id"
"public","finance_payments","fk_finance_payments_amo_id_amos","amo_id","public","amos","id"
"public","finance_payments","fk_finance_payments_created_by_user_id_users","created_by_user_id","public","users","id"
"public","finance_payments","fk_finance_payments_customer_id_customers","customer_id","public","customers","id"
"public","fracas_actions","fk_fracas_actions_fracas_case_id_fracas_cases","fracas_case_id","public","fracas_cases","id"
"public","fracas_actions","fk_fracas_actions_owner_user_id_users","owner_user_id","public","users","id"
"public","fracas_actions","fk_fracas_actions_verified_by_user_id_users","verified_by_user_id","public","users","id"
"public","fracas_cases","fk_fracas_cases_aircraft_serial_number_aircraft","aircraft_serial_number","public","aircraft","serial_number"
"public","fracas_cases","fk_fracas_cases_amo_id_amos","amo_id","public","amos","id"
"public","fracas_cases","fk_fracas_cases_approved_by_user_id_users","approved_by_user_id","public","users","id"
"public","fracas_cases","fk_fracas_cases_component_id_aircraft_components","component_id","public","aircraft_components","id"
"public","fracas_cases","fk_fracas_cases_created_by_user_id_users","created_by_user_id","public","users","id"
"public","fracas_cases","fk_fracas_cases_reliability_event_id_reliability_events","reliability_event_id","public","reliability_events","id"
"public","fracas_cases","fk_fracas_cases_task_card_id_task_cards","task_card_id","public","task_cards","id"
"public","fracas_cases","fk_fracas_cases_updated_by_user_id_users","updated_by_user_id","public","users","id"
"public","fracas_cases","fk_fracas_cases_verified_by_user_id_users","verified_by_user_id","public","users","id"
"public","fracas_cases","fk_fracas_cases_work_order_id_work_orders","work_order_id","public","work_orders","id"
"public","gl_accounts","fk_gl_accounts_amo_id_amos","amo_id","public","amos","id"
"public","goods_receipt_lines","fk_goods_receipt_lines_goods_receipt_id_goods_receipts","goods_receipt_id","public","goods_receipts","id"
"public","goods_receipt_lines","fk_goods_receipt_lines_location_id_inventory_locations","location_id","public","inventory_locations","id"
"public","goods_receipt_lines","fk_goods_receipt_lines_part_id_inventory_parts","part_id","public","inventory_parts","id"
"public","goods_receipts","fk_goods_receipts_amo_id_amos","amo_id","public","amos","id"
"public","goods_receipts","fk_goods_receipts_purchase_order_id_purchase_orders","purchase_order_id","public","purchase_orders","id"
"public","goods_receipts","fk_goods_receipts_received_by_user_id_users","received_by_user_id","public","users","id"
"public","inspector_signoffs","fk_inspector_signoffs_amo_id_amos","amo_id","public","amos","id"
"public","inspector_signoffs","fk_inspector_signoffs_inspector_user_id_users","inspector_user_id","public","users","id"
"public","inspector_signoffs","fk_inspector_signoffs_task_card_id_task_cards","task_card_id","public","task_cards","id"
"public","inspector_signoffs","fk_inspector_signoffs_work_order_id_work_orders","work_order_id","public","work_orders","id"
"public","integration_configs","fk_integration_configs_amo_id_amos","amo_id","public","amos","id"
"public","integration_configs","fk_integration_configs_created_by_user_id_users","created_by_user_id","public","users","id"
"public","integration_configs","fk_integration_configs_updated_by_user_id_users","updated_by_user_id","public","users","id"
"public","integration_inbound_events","fk_integration_inbound_events_amo_id_amos","amo_id","public","amos","id"
"public","integration_inbound_events","fk_integration_inbound_events_created_by_user_id_users","created_by_user_id","public","users","id"
"public","integration_inbound_events","fk_integration_inbound_events_integration_id_integratio_f257","integration_id","public","integration_configs","id"
"public","integration_outbound_events","fk_integration_outbound_events_amo_id_amos","amo_id","public","amos","id"
"public","integration_outbound_events","fk_integration_outbound_events_created_by_user_id_users","created_by_user_id","public","users","id"
"public","integration_outbound_events","fk_integration_outbound_events_integration_id_integrati_be74","integration_id","public","integration_configs","id"
"public","inventory_locations","fk_inventory_locations_amo_id_amos","amo_id","public","amos","id"
"public","inventory_lots","fk_inventory_lots_amo_id_amos","amo_id","public","amos","id"
"public","inventory_lots","fk_inventory_lots_part_id_inventory_parts","part_id","public","inventory_parts","id"
"public","inventory_movement_ledger","fk_inventory_movement_ledger_amo_id_amos","amo_id","public","amos","id"
"public","inventory_movement_ledger","fk_inventory_movement_ledger_created_by_user_id_users","created_by_user_id","public","users","id"
"public","inventory_movement_ledger","fk_inventory_movement_ledger_from_location_id_inventory_dff6","from_location_id","public","inventory_locations","id"
"public","inventory_movement_ledger","fk_inventory_movement_ledger_lot_id_inventory_lots","lot_id","public","inventory_lots","id"
"public","inventory_movement_ledger","fk_inventory_movement_ledger_part_id_inventory_parts","part_id","public","inventory_parts","id"
"public","inventory_movement_ledger","fk_inventory_movement_ledger_serial_id_inventory_serials","serial_id","public","inventory_serials","id"
"public","inventory_movement_ledger","fk_inventory_movement_ledger_task_card_id_task_cards","task_card_id","public","task_cards","id"
"public","inventory_movement_ledger","fk_inventory_movement_ledger_to_location_id_inventory_locations","to_location_id","public","inventory_locations","id"
"public","inventory_movement_ledger","fk_inventory_movement_ledger_work_order_id_work_orders","work_order_id","public","work_orders","id"
"public","inventory_parts","fk_inventory_parts_amo_id_amos","amo_id","public","amos","id"
"public","inventory_serials","fk_inventory_serials_amo_id_amos","amo_id","public","amos","id"
"public","inventory_serials","fk_inventory_serials_part_id_inventory_parts","part_id","public","inventory_parts","id"
"public","journal_entries","fk_journal_entries_amo_id_amos","amo_id","public","amos","id"
"public","journal_entries","fk_journal_entries_posted_by_user_id_users","posted_by_user_id","public","users","id"
"public","journal_entries","fk_journal_entries_reversal_of_id_journal_entries","reversal_of_id","public","journal_entries","id"
"public","journal_lines","fk_journal_lines_gl_account_id_gl_accounts","gl_account_id","public","gl_accounts","id"
"public","journal_lines","fk_journal_lines_journal_entry_id_journal_entries","journal_entry_id","public","journal_entries","id"
"public","ledger_entries","fk_ledger_entries_amo_id_amos","amo_id","public","amos","id"
"public","ledger_entries","fk_ledger_entries_license_id_tenant_licenses","license_id","public","tenant_licenses","id"
"public","license_entitlements","fk_license_entitlements_license_id_tenant_licenses","license_id","public","tenant_licenses","id"
"public","maintenance_statuses_legacy","fk_maintenance_statuses_aircraft_serial_number_aircraft","aircraft_serial_number","public","aircraft","serial_number"
"public","maintenance_statuses_legacy","fk_maintenance_statuses_program_item_id_maintenance_pro_f6fe","program_item_id","public","maintenance_program_items_legacy","id"
"public","manual_audit_log","fk_manual_audit_log_actor_id_users","actor_id","public","users","id"
"public","manual_audit_log","fk_manual_audit_log_tenant_id_manual_tenants","tenant_id","public","manual_tenants","id"
"public","manual_blocks","fk_manual_blocks_section_id_manual_sections","section_id","public","manual_sections","id"
"public","manual_reader_progress","fk_manual_reader_progress_last_section_id_manual_sections","last_section_id","public","manual_sections","id"
"public","manual_reader_progress","fk_manual_reader_progress_manual_id_manuals","manual_id","public","manuals","id"
"public","manual_reader_progress","fk_manual_reader_progress_revision_id_manual_revisions","revision_id","public","manual_revisions","id"
"public","manual_reader_progress","fk_manual_reader_progress_tenant_id_manual_tenants","tenant_id","public","manual_tenants","id"
"public","manual_reader_progress","fk_manual_reader_progress_user_id_users","user_id","public","users","id"
"public","manual_revisions","fk_manual_revisions_created_by_users","created_by","public","users","id"
"public","manual_revisions","fk_manual_revisions_manual_id_manuals","manual_id","public","manuals","id"
"public","manual_sections","fk_manual_sections_parent_section_id_manual_sections","parent_section_id","public","manual_sections","id"
"public","manual_sections","fk_manual_sections_revision_id_manual_revisions","revision_id","public","manual_revisions","id"
"public","manual_tenants","fk_manual_tenants_amo_id_amos","amo_id","public","amos","id"
"public","manuals","fk_manuals_current_rev","current_published_rev_id","public","manual_revisions","id"
"public","manuals","fk_manuals_tenant_id_manual_tenants","tenant_id","public","manual_tenants","id"
"public","message_receipts","fk_message_receipts_amo_id_amos","amo_id","public","amos","id"
"public","message_receipts","fk_message_receipts_message_id_chat_messages","message_id","public","chat_messages","id"
"public","message_receipts","fk_message_receipts_user_id_users","user_id","public","users","id"
"public","module_subscriptions","fk_module_subscriptions_amo_id_amos","amo_id","public","amos","id"
"public","oil_consumption_rates","fk_oil_consumption_rates_aircraft_serial_number_aircraft","aircraft_serial_number","public","aircraft","serial_number"
"public","oil_consumption_rates","fk_oil_consumption_rates_amo_id_amos","amo_id","public","amos","id"
"public","oil_uplifts","fk_oil_uplifts_aircraft_serial_number_aircraft","aircraft_serial_number","public","aircraft","serial_number"
"public","oil_uplifts","fk_oil_uplifts_amo_id_amos","amo_id","public","amos","id"
"public","part_movement_ledger","fk_part_movement_ledger_aircraft_serial_number_aircraft","aircraft_serial_number","public","aircraft","serial_number"
"public","part_movement_ledger","fk_part_movement_ledger_amo_id_amos","amo_id","public","amos","id"
"public","part_movement_ledger","fk_part_movement_ledger_component_id_aircraft_components","component_id","public","aircraft_components","id"
"public","part_movement_ledger","fk_part_movement_ledger_component_instance_id_component_e997","component_instance_id","public","component_instances","id"
"public","part_movement_ledger","fk_part_movement_ledger_created_by_user_id_users","created_by_user_id","public","users","id"
"public","part_movement_ledger","fk_part_movement_ledger_task_card_id_task_cards","task_card_id","public","task_cards","id"
"public","part_movement_ledger","fk_part_movement_ledger_work_order_id_work_orders","work_order_id","public","work_orders","id"
"public","password_reset_tokens","fk_password_reset_tokens_user_id_users","user_id","public","users","id"
"public","payment_allocations","fk_payment_allocations_invoice_id_finance_invoices","invoice_id","public","finance_invoices","id"
"public","payment_allocations","fk_payment_allocations_payment_id_finance_payments","payment_id","public","finance_payments","id"
"public","payment_methods","fk_payment_methods_amo_id_amos","amo_id","public","amos","id"
"public","personnel_profiles","fk_personnel_profiles_amo_id_amos","amo_id","public","amos","id"
"public","personnel_profiles","fk_personnel_profiles_user_id_users","user_id","public","users","id"
"public","physical_controlled_copies","fk_physical_controlled_copies_amo_id_amos","amo_id","public","amos","id"
"public","physical_controlled_copies","fk_physical_controlled_copies_current_holder_user_id_users","current_holder_user_id","public","users","id"
"public","physical_controlled_copies","fk_physical_controlled_copies_digital_revision_id_qms_d_443a","digital_revision_id","public","qms_document_revisions","id"
