schemaname,tablename,indexname,indexdef
"public","account_security_events","idx_security_events_user_created","CREATE INDEX idx_security_events_user_created ON public.account_security_events USING btree (user_id, event_type, created_at)"
"public","account_security_events","ix_account_security_events_amo_id","CREATE INDEX ix_account_security_events_amo_id ON public.account_security_events USING btree (amo_id)"
"public","account_security_events","ix_account_security_events_user_id","CREATE INDEX ix_account_security_events_user_id ON public.account_security_events USING btree (user_id)"
"public","account_security_events","pk_account_security_events","CREATE UNIQUE INDEX pk_account_security_events ON public.account_security_events USING btree (id)"
"public","accounting_periods","ix_accounting_periods_amo","CREATE INDEX ix_accounting_periods_amo ON public.accounting_periods USING btree (amo_id)"
"public","accounting_periods","pk_accounting_periods","CREATE UNIQUE INDEX pk_accounting_periods ON public.accounting_periods USING btree (id)"
"public","accounting_periods","uq_accounting_period","CREATE UNIQUE INDEX uq_accounting_period ON public.accounting_periods USING btree (amo_id, period)"
"public","acknowledgements","pk_acknowledgements","CREATE UNIQUE INDEX pk_acknowledgements ON public.acknowledgements USING btree (id)"
"public","aircraft","ix_aircraft_aircraft_model_code","CREATE INDEX ix_aircraft_aircraft_model_code ON public.aircraft USING btree (aircraft_model_code)"
"public","aircraft","ix_aircraft_amo_serial","CREATE INDEX ix_aircraft_amo_serial ON public.aircraft USING btree (amo_id, serial_number)"
"public","aircraft","ix_aircraft_amo_status_active","CREATE INDEX ix_aircraft_amo_status_active ON public.aircraft USING btree (amo_id, status, is_active)"
"public","aircraft","ix_aircraft_is_active","CREATE INDEX ix_aircraft_is_active ON public.aircraft USING btree (is_active)"
"public","aircraft","ix_aircraft_last_log_date","CREATE INDEX ix_aircraft_last_log_date ON public.aircraft USING btree (last_log_date)"
"public","aircraft","ix_aircraft_model_code","CREATE INDEX ix_aircraft_model_code ON public.aircraft USING btree (aircraft_model_code)"
"public","aircraft","ix_aircraft_operator_code","CREATE INDEX ix_aircraft_operator_code ON public.aircraft USING btree (operator_code)"
"public","aircraft","ix_aircraft_serial_number","CREATE INDEX ix_aircraft_serial_number ON public.aircraft USING btree (serial_number)"
"public","aircraft","ix_aircraft_status","CREATE INDEX ix_aircraft_status ON public.aircraft USING btree (status)"
"public","aircraft","ix_aircraft_status_active","CREATE INDEX ix_aircraft_status_active ON public.aircraft USING btree (status, is_active)"
"public","aircraft","pk_aircraft","CREATE UNIQUE INDEX pk_aircraft ON public.aircraft USING btree (serial_number)"
"public","aircraft","uq_aircraft_amo_registration","CREATE UNIQUE INDEX uq_aircraft_amo_registration ON public.aircraft USING btree (amo_id, registration)"
"public","aircraft","uq_aircraft_registration","CREATE UNIQUE INDEX uq_aircraft_registration ON public.aircraft USING btree (registration)"
"public","aircraft_components","ix_aircraft_components_aircraft_position","CREATE INDEX ix_aircraft_components_aircraft_position ON public.aircraft_components USING btree (aircraft_serial_number, ""position"")"
"public","aircraft_components","ix_aircraft_components_aircraft_serial_number","CREATE INDEX ix_aircraft_components_aircraft_serial_number ON public.aircraft_components USING btree (aircraft_serial_number)"
"public","aircraft_components","ix_aircraft_components_ata","CREATE INDEX ix_aircraft_components_ata ON public.aircraft_components USING btree (ata)"
"public","aircraft_components","ix_aircraft_components_id","CREATE INDEX ix_aircraft_components_id ON public.aircraft_components USING btree (id)"
"public","aircraft_components","ix_aircraft_components_part_number","CREATE INDEX ix_aircraft_components_part_number ON public.aircraft_components USING btree (part_number)"
"public","aircraft_components","ix_aircraft_components_pn_sn","CREATE INDEX ix_aircraft_components_pn_sn ON public.aircraft_components USING btree (part_number, serial_number)"
"public","aircraft_components","ix_aircraft_components_position","CREATE INDEX ix_aircraft_components_position ON public.aircraft_components USING btree (""position"")"
"public","aircraft_components","ix_aircraft_components_serial_number","CREATE INDEX ix_aircraft_components_serial_number ON public.aircraft_components USING btree (serial_number)"
"public","aircraft_components","pk_aircraft_components","CREATE UNIQUE INDEX pk_aircraft_components ON public.aircraft_components USING btree (id)"
