table_name,seq_scan,seq_tup_read,idx_scan,n_live_tup,n_dead_tup,total_bytes
"users","0","0","0","0","0","311296"
"password_reset_tokens","0","0","0","0","0","81920"
"platform_integration_providers","0","0","0","0","0","24576"
"base_station_aliases","0","0","0","0","0","32768"
"aircraft_configuration_events","0","0","0","0","0","40960"
"training_certificate_issues","0","0","0","0","0","49152"
"prompts","0","0","0","0","0","8192"
"qms_external_items","0","0","0","0","0","40960"
"qms_settings","0","0","0","0","0","40960"
"qms_car_action_items","0","0","0","0","0","40960"
"technical_production_release_gates","0","0","0","0","0","32768"
"platform_worker_heartbeats","0","0","0","0","0","32768"
"user_base_assignments","0","0","0","0","0","40960"
"qms_management_review_actions","0","0","0","0","0","40960"
"qms_customer_complaints","0","0","0","0","0","40960"
"engine_flight_snapshots","0","0","0","0","0","65536"
"qms_metric_definitions","0","0","0","0","0","40960"
"document_versions","0","0","0","0","0","163840"
"qms_audit_programs","0","0","0","0","0","40960"
"user_groups","0","0","0","0","0","73728"
"user_availability","0","0","0","0","0","40960"
"qms_car_root_causes","0","0","0","0","0","40960"
"auth_role_definitions","0","0","0","0","0","24576"
"crs","0","0","0","0","0","122880"
"physical_controlled_copies","0","0","0","0","0","40960"
"qms_car_effectiveness_reviews","0","0","0","0","0","40960"
"license_entitlements","0","0","0","0","0","32768"
"technical_airworthiness_publications","0","0","0","0","0","32768"
"aircraft_documents","0","0","0","0","0","73728"
"qms_audit_team_members","0","0","0","0","0","40960"
"reliability_alerts","0","0","0","0","0","106496"
"qms_change_controls","0","0","0","0","0","40960"
"qms_training_courses","0","0","0","0","0","40960"
"qms_equipment_status_history","0","0","0","0","0","40960"
"fracas_actions","0","0","0","0","0","65536"
"qms_processes","0","0","0","0","0","40960"
"user_authorisations","0","0","0","0","0","49152"
"user_group_members","0","0","0","0","0","49152"
"qms_car_rejections","0","0","0","0","0","40960"
"quality_cars","0","0","0","0","0","540672"
"customers","0","0","0","0","0","32768"
"platform_feature_flags","0","0","0","0","0","32768"
"aircraft_program_items","0","0","0","0","0","114688"
"qms_file_access_logs","0","0","0","0","0","57344"
"tax_codes","0","0","0","0","0","40960"
"manual_blocks","0","0","0","0","0","65536"
"qms_document_approvals","0","0","0","0","0","40960"
"presence_state","0","0","0","0","0","57344"
"qms_supplier_documents","0","0","0","0","0","40960"
"training_certificate_status_history","0","0","0","0","0","24576"
"reliability_events","0","0","0","0","0","106496"
"technical_deferrals","0","0","0","0","0","24576"
"authorisation_types","0","0","0","0","0","40960"
"platform_route_metrics_1m","0","0","0","0","0","40960"
"manuals","0","0","0","0","0","49152"
"work_orders","0","0","0","0","0","163840"
"goods_receipt_lines","0","0","0","0","0","16384"
"technical_record_settings","0","0","0","0","0","57344"
"technical_airworthiness_compliance_events","0","0","0","0","0","24576"
"platform_diagnostic_runs","0","0","0","0","0","24576"
"doc_control_distribution_recipients","0","0","0","0","0","16384"
"quality_tenant_backfill_issues","0","0","0","0","0","24576"
"training_notifications","0","0","0","0","0","147456"
"quality_audit_checklist_items","0","0","0","0","0","106496"
"aircraft","0","0","0","0","0","114688"
"fracas_cases","0","0","0","0","0","131072"
"currencies","0","0","0","0","0","40960"
"removal_events","0","0","0","0","0","90112"
"qms_retention_rules","0","0","0","0","0","40960"
"training_courses","0","0","0","0","0","237568"
"qms_customer_feedback","0","0","0","0","0","40960"
"training_audit_logs","0","0","0","0","0","180224"
"qms_document_versions","0","0","0","0","0","40960"
"aircraft_usage","0","0","0","0","0","90112"
"platform_maintenance_windows","0","0","0","0","0","24576"
"doc_control_revision_packages","0","0","0","0","0","24576"
"inspector_signoffs","0","0","0","0","0","32768"
"qms_document_templates","0","0","0","0","0","40960"
"qms_finding_evidence","0","0","0","0","0","40960"
"doc_control_distribution_events","0","0","0","0","0","16384"
"qms_finding_classifications","0","0","0","0","0","40960"
"qms_public_holidays","0","0","0","0","0","32768"
"qms_authority_correspondence","0","0","0","0","0","40960"
"manual_reader_progress","0","0","0","0","0","57344"
"auth_role_capability_bindings","0","0","0","0","0","24576"
"quality_audit_post_briefs","0","0","0","0","0","49152"
"doc_control_settings","0","0","0","0","0","8192"
"chat_thread_members","0","0","0","0","0","16384"
"email_logs","0","0","0","0","0","65536"
"qms_calibration_records","0","0","0","0","0","40960"
"message_receipts","0","0","0","0","0","24576"
"qms_car_closure_records","0","0","0","0","0","40960"
"catalog_skus","0","0","0","0","0","98304"
"payment_allocations","0","0","0","0","0","16384"
