schema_name,table_name,relkind,total_bytes,table_bytes,index_bytes,estimated_rows,estimated_dead_rows,seq_scan,seq_tup_read,idx_scan,n_tup_ins,n_tup_upd,n_tup_del,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze
"public","realtime_connect_tokens","r","2580480","2015232","540672","0","0","0","0","0","0","0","0","","","",""
"public","training_records","r","1777664","352256","1384448","0","0","0","0","0","0","0","0","","","",""
"public","qms_audits","r","786432","8192","770048","0","0","0","0","0","0","0","0","","","",""
"public","quality_cars","r","540672","8192","524288","0","0","0","0","0","0","0","0","","","",""
"public","training_files","r","311296","8192","294912","0","0","0","0","0","0","0","0","","","",""
"public","users","r","311296","32768","245760","0","0","0","0","0","0","0","0","","","",""
"public","training_requirements","r","303104","8192","294912","0","0","0","0","0","0","0","0","","","",""
"public","account_security_events","r","245760","81920","131072","0","0","0","0","0","0","0","0","","","",""
"public","training_courses","r","237568","16384","180224","0","0","0","0","0","0","0","0","","","",""
"public","personnel_profiles","r","221184","32768","147456","0","0","0","0","0","0","0","0","","","",""
"public","task_cards","r","212992","0","204800","0","0","0","0","0","0","0","0","","","",""
"public","ehm_raw_logs","r","196608","8192","180224","0","0","0","0","0","0","0","0","","","",""
"public","qms_audit_findings","r","180224","0","172032","0","0","0","0","0","0","0","0","","","",""
"public","qms_notifications","r","180224","8192","163840","0","0","0","0","0","0","0","0","","","",""
"public","training_audit_logs","r","180224","8192","163840","0","0","0","0","0","0","0","0","","","",""
"public","audit_events","r","163840","32768","98304","0","0","0","0","0","0","0","0","","","",""
"public","document_versions","r","163840","8192","65536","0","0","0","0","0","0","0","0","","","",""
"public","work_orders","r","163840","0","155648","0","0","0","0","0","0","0","0","","","",""
"public","training_notifications","r","147456","8192","131072","0","0","0","0","0","0","0","0","","","",""
"public","amos","r","131072","8192","114688","0","0","0","0","0","0","0","0","","","",""
"public","billing_invoices","r","131072","8192","114688","0","0","0","0","0","0","0","0","","","",""
"public","fracas_cases","r","131072","0","122880","0","0","0","0","0","0","0","0","","","",""
"public","part_movement_ledger","r","131072","0","122880","0","0","0","0","0","0","0","0","","","",""
"public","platform_command_jobs","r","131072","8192","114688","0","0","0","0","0","0","0","0","","","",""
"public","training_events","r","131072","0","122880","0","0","0","0","0","0","0","0","","","",""
"public","crs","r","122880","0","114688","0","0","0","0","0","0","0","0","","","",""
"public","qms_audit_schedules","r","122880","8192","106496","0","0","0","0","0","0","0","0","","","",""
"public","usage_meters","r","122880","8192","81920","0","0","0","0","0","0","0","0","","","",""
"public","aircraft","r","114688","0","106496","0","0","0","0","0","0","0","0","","","",""
"public","aircraft_program_items","r","114688","0","106496","0","0","0","0","0","0","0","0","","","",""
"public","amp_program_items","r","114688","0","106496","0","0","0","0","0","0","0","0","","","",""
"public","ledger_entries","r","114688","8192","98304","0","0","0","0","0","0","0","0","","","",""
"public","qms_documents","r","114688","0","106496","0","0","0","0","0","0","0","0","","","",""
"public","tenant_licenses","r","114688","8192","98304","0","0","0","0","0","0","0","0","","","",""
"public","document_sections","r","106496","0","90112","0","0","0","0","0","0","0","0","","","",""
"public","quality_audit_checklist_items","r","106496","0","98304","0","0","0","0","0","0","0","0","","","",""
"public","quality_reminder_milestones","r","106496","0","98304","0","0","0","0","0","0","0","0","","","",""
"public","reliability_alerts","r","106496","0","98304","0","0","0","0","0","0","0","0","","","",""
"public","reliability_events","r","106496","0","98304","0","0","0","0","0","0","0","0","","","",""
"public","roster_assignments","r","106496","0","98304","0","0","0","0","0","0","0","0","","","",""
"public","training_event_participants","r","106496","0","98304","0","0","0","0","0","0","0","0","","","",""
"public","aircraft_components","r","98304","0","90112","0","0","0","0","0","0","0","0","","","",""
"public","catalog_skus","r","98304","8192","81920","0","0","0","0","0","0","0","0","","","",""
"public","integration_inbound_events","r","98304","0","90112","0","0","0","0","0","0","0","0","","","",""
"public","integration_outbound_events","r","98304","0","90112","0","0","0","0","0","0","0","0","","","",""
"public","quality_car_actions","r","98304","8192","81920","0","0","0","0","0","0","0","0","","","",""
"public","reliability_reports","r","98304","8192","81920","0","0","0","0","0","0","0","0","","","",""
"public","training_deferral_requests","r","98304","0","90112","0","0","0","0","0","0","0","0","","","",""
"public","aircraft_usage","r","90112","0","81920","0","0","0","0","0","0","0","0","","","",""
"public","maintenance_program_items_legacy","r","90112","0","81920","0","0","0","0","0","0","0","0","","","",""
"public","quality_audit_document_requests","r","90112","0","81920","0","0","0","0","0","0","0","0","","","",""
"public","removal_events","r","90112","0","90112","0","0","0","0","0","0","0","0","","","",""
"public","roster_validation_findings","r","90112","0","81920","0","0","0","0","0","0","0","0","","","",""
"public","task_assignments","r","90112","0","90112","0","0","0","0","0","0","0","0","","","",""
"public","user_active_context","r","90112","8192","81920","0","0","0","0","0","0","0","0","","","",""
"public","amo_assets","r","81920","8192","65536","0","0","0","0","0","0","0","0","","","",""
"public","component_instances","r","81920","0","73728","0","0","0","0","0","0","0","0","","","",""
"public","departments","r","81920","8192","65536","0","0","0","0","0","0","0","0","","","",""
"public","password_reset_tokens","r","81920","8192","65536","0","0","0","0","0","0","0","0","","","",""
"public","platform_audit_log","r","81920","8192","65536","0","0","0","0","0","0","0","0","","","",""
