table_name,model_refs
archived_users,amodb/models.py:ArchivedUser
maintenance_program_items,amodb/apps/fleet/models.py:MaintenanceProgramItem
maintenance_statuses,amodb/apps/fleet/models.py:MaintenanceStatus
manual_ai_hook_events,amodb/apps/manuals/models.py:ManualAIHookEvent
manual_requirement_links,amodb/apps/manuals/models.py:ManualRequirementLink
platform_tenant_support_sessions,amodb/apps/platform/models.py:PlatformTenantSupportSession
print_exports,amodb/apps/manuals/models.py:PrintExport
print_logs,amodb/apps/manuals/models.py:PrintLog
qms_corrective_actions,amodb/apps/quality/models.py:QMSCorrectiveAction
quality_car_attachments,amodb/apps/quality/models.py:CARAttachment
regulation_catalog,amodb/apps/manuals/models.py:RegulationCatalog
regulation_requirements,amodb/apps/manuals/models.py:RegulationRequirement
reliability_defect_trends,amodb/apps/reliability/models.py:ReliabilityDefectTrend
reliability_program_templates,amodb/apps/reliability/models.py:ReliabilityProgramTemplate
reliability_recommendations,amodb/apps/reliability/models.py:ReliabilityRecommendation
reliability_recurring_findings,amodb/apps/reliability/models.py:ReliabilityRecurringFinding
technical_aircraft_utilisation,amodb/apps/technical_records/models.py:AircraftUtilisation
training_auditor_access_grants,amodb/apps/training/models.py:TrainingAuditorAccessGrant
training_report_settings,amodb/apps/training/models.py:TrainingReportSettings
user_activities,amodb/models.py:UserActivity
webhook_events,amodb/apps/accounts/models.py:WebhookEvent
