table,possible_redundant_index,covered_by,prefix_columns,covering_columns
account_security_events,ix_account_security_events_user_id,idx_security_events_user_created,user_id,"user_id,event_type,created_at"
accounting_periods,ix_accounting_periods_amo,uq_accounting_period,amo_id,"amo_id,period"
aircraft,ix_aircraft_status,ix_aircraft_status_active,status,"status,is_active"
aircraft_components,ix_aircraft_components_aircraft_serial_number,ix_aircraft_components_aircraft_position,aircraft_serial_number,"aircraft_serial_number,""position"""
aircraft_components,ix_aircraft_components_part_number,ix_aircraft_components_pn_sn,part_number,"part_number,serial_number"
aircraft_documents,ix_aircraft_documents_aircraft_serial_number,ix_aircraft_documents_aircraft_due,aircraft_serial_number,"aircraft_serial_number,expires_on"
aircraft_documents,ix_aircraft_documents_status,ix_aircraft_documents_status_due,status,"status,expires_on"
aircraft_import_templates,ix_aircraft_import_template_type,uq_aircraft_import_template_type_name,template_type,"template_type,name"
aircraft_program_items,ix_aircraft_program_items_aircraft_serial_number,ix_aircraft_program_items_aircraft_status,aircraft_serial_number,"aircraft_serial_number,status"
aircraft_usage,ix_aircraft_usage_aircraft_date,uq_aircraft_usage_aircraft_date_techlog,"aircraft_serial_number,date","aircraft_serial_number,date,techlog_no"
aircraft_usage,ix_aircraft_usage_aircraft_serial_number,ix_aircraft_usage_aircraft_date,aircraft_serial_number,"aircraft_serial_number,date"
aircraft_utilization_daily,ix_aircraft_utilization_daily_aircraft_serial_number,uq_aircraft_utilization_date,aircraft_serial_number,"aircraft_serial_number,date"
aircraft_utilization_daily,ix_aircraft_utilization_daily_amo_id,ix_aircraft_utilization_amo_date,amo_id,"amo_id,date"
amos,pk_amos,ix_amos_id_time_zone,id,"id,time_zone"
amp_program_items,ix_amp_program_items_template_code,ix_amp_program_items_template_ata,template_code,"template_code,ata_chapter"
audit_events,ix_audit_events_amo_time,ix_audit_events_amo_time_id_desc,"amo_id,occurred_at","amo_id,occurred_at,id"
audit_events,ix_audit_events_amo_time_desc,ix_audit_events_amo_time_id_desc,"amo_id,occurred_at","amo_id,occurred_at,id"
authorisation_types,ix_authorisation_types_amo_id,uq_auth_types_amo_code,amo_id,"amo_id,code"
base_station_aliases,ix_base_station_aliases_amo_id,uq_base_station_aliases_amo_alias,amo_id,"amo_id,alias"
base_stations,ix_base_stations_amo_id,ix_base_stations_amo_active,amo_id,"amo_id,is_active"
billing_invoices,ix_billing_invoices_amo_id,uq_invoice_idempotency,amo_id,"amo_id,idempotency_key"
component_instances,ix_component_instances_amo_id,uq_component_instance_amo_pn_sn,amo_id,"amo_id,part_number,serial_number"
crs,ix_crs_aircraft_serial_number,ix_crs_aircraft_issue_date,aircraft_serial_number,"aircraft_serial_number,crs_issue_date"
crs_signoff,ix_crs_signoff_crs,uq_crs_signoff_crs_category,crs_id,"crs_id,category"
crs_signoff,ix_crs_signoff_crs_id,uq_crs_signoff_crs_category,crs_id,"crs_id,category"
customers,ix_customers_amo,uq_customer_code,amo_id,"amo_id,code"
departments,ix_departments_amo_id,uq_departments_amo_code,amo_id,"amo_id,code"
doc_control_documents,ix_doc_control_documents_tenant_id,uq_doc_control_documents_tenant_doc_id,tenant_id,"tenant_id,doc_id"
ehm_parsed_records,ix_ehm_parsed_records_amo_id,ix_ehm_records_amo_time,amo_id,"amo_id,unit_time"
ehm_parsed_records,ix_ehm_parsed_records_record_type,ix_ehm_records_type_time,record_type,"record_type,unit_time"
ehm_raw_logs,ix_ehm_raw_logs_amo_id,ix_ehm_logs_amo_aircraft,amo_id,"amo_id,aircraft_serial_number"
engine_flight_snapshots,ix_engine_flight_snapshots_aircraft_serial_number,ix_engine_snapshots_aircraft_date,aircraft_serial_number,"aircraft_serial_number,flight_date"
engine_trend_statuses,ix_engine_trend_statuses_amo_id,uq_engine_trend_status_engine,amo_id,"amo_id,aircraft_serial_number,engine_position,engine_serial_number"
engine_utilization_daily,ix_engine_utilization_daily_aircraft_serial_number,uq_engine_utilization_date,aircraft_serial_number,"aircraft_serial_number,engine_position,date"
engine_utilization_daily,ix_engine_utilization_daily_amo_id,ix_engine_utilization_amo_date,amo_id,"amo_id,date"
finance_credit_notes,ix_credit_notes_amo,uq_credit_note_idempotency,amo_id,"amo_id,idempotency_key"
finance_invoices,ix_finance_invoices_amo,uq_finance_invoice_idempotency,amo_id,"amo_id,idempotency_key"
finance_payments,ix_payments_amo,uq_payment_idempotency,amo_id,"amo_id,idempotency_key"
fracas_actions,ix_fracas_actions_fracas_case_id,ix_fracas_actions_case_status,fracas_case_id,"fracas_case_id,status"
gl_accounts,ix_gl_accounts_amo,uq_gl_account_code,amo_id,"amo_id,code"
idempotency_keys,ix_idempotency_keys_scope,uq_idempotency_scope_key,scope,"scope,key"
integration_configs,ix_integration_configs_amo_id,ix_integration_configs_amo_key,amo_id,"amo_id,integration_key"
integration_inbound_events,ix_integration_inbound_events_amo_id,ix_integration_inbound_amo_integration_received,amo_id,"amo_id,integration_id,received_at"
integration_outbound_events,ix_integration_outbound_events_amo_id,ix_integration_outbound_amo_integration,amo_id,"amo_id,integration_id"
inventory_locations,ix_inventory_locations_amo,uq_inventory_location_code,amo_id,"amo_id,code"
ledger_entries,ix_ledger_entries_amo_id,idx_ledger_entries_amo_recorded,amo_id,"amo_id,recorded_at"
license_entitlements,ix_license_entitlements_license_id,uq_license_entitlement_unique,license_id,"license_id,key"
maintenance_program_items_legacy,ix_maintenance_program_items_aircraft_template,ix_mpi_template_ata,aircraft_template,"aircraft_template,ata_chapter"
maintenance_program_items_legacy,ix_mpi_template_ata,uq_maintenance_program_item_template_ata_task,"aircraft_template,ata_chapter","aircraft_template,ata_chapter,task_code"
maintenance_statuses_legacy,ix_maintenance_statuses_aircraft_serial_number,ix_maintenance_status_aircraft_due_date,aircraft_serial_number,"aircraft_serial_number,next_due_date"
manual_reader_progress,ix_manual_reader_progress_revision_id,uq_manual_reader_progress_revision_user,revision_id,"revision_id,user_id"
module_subscriptions,ix_module_subscriptions_amo,uq_module_subscription,amo_id,"amo_id,module_code"
oil_consumption_rates,ix_oil_consumption_rates_aircraft_serial_number,ix_oil_rates_aircraft_window,aircraft_serial_number,"aircraft_serial_number,window_start,window_end"
oil_uplifts,ix_oil_uplifts_aircraft_serial_number,ix_oil_uplifts_aircraft_date,aircraft_serial_number,"aircraft_serial_number,uplift_date"
part_movement_ledger,ix_part_movement_ledger_aircraft_serial_number,ix_part_movement_aircraft_date,aircraft_serial_number,"aircraft_serial_number,event_date"
