table_name,category,estimated_rows,total_bytes,index_bytes,model_refs,raw_code_refs
maintenance_program_items_legacy,legacy_drop_candidate_needs_exact_count,0,90112,81920,,
maintenance_statuses_legacy,legacy_drop_candidate_needs_exact_count,0,65536,65536,,
qms_corrective_actions_legacy,legacy_drop_candidate_needs_exact_count,0,73728,65536,,
technical_aircraft_utilisation_legacy,legacy_drop_candidate_needs_exact_count,0,24576,16384,,
auth_postholder_assignments,migration_only_or_stale_candidate,0,16384,16384,,
auth_role_definitions,migration_only_or_stale_candidate,0,24576,16384,,
auth_sod_policy_rules,migration_only_or_stale_candidate,0,24576,16384,,
qms_archive_package_items,migration_only_or_stale_candidate,0,40960,32768,,
qms_audit_checklist_items,migration_only_or_stale_candidate,0,40960,32768,,
qms_calendar_settings,migration_only_or_stale_candidate,0,65536,49152,,
qms_context_items,migration_only_or_stale_candidate,0,40960,32768,,
qms_document_acknowledgements,migration_only_or_stale_candidate,0,40960,32768,,
qms_document_sections,migration_only_or_stale_candidate,0,40960,32768,,
qms_equipment_status_history,migration_only_or_stale_candidate,0,40960,32768,,
qms_file_hashes,migration_only_or_stale_candidate,0,40960,32768,,
qms_finding_links,migration_only_or_stale_candidate,0,40960,32768,,
qms_finding_sources,migration_only_or_stale_candidate,0,40960,32768,,
qms_interested_parties,migration_only_or_stale_candidate,0,40960,32768,,
qms_management_review_approvals,migration_only_or_stale_candidate,0,40960,32768,,
qms_metric_definitions,migration_only_or_stale_candidate,0,40960,32768,,
qms_process_owners,migration_only_or_stale_candidate,0,40960,32768,,
qms_public_holidays,migration_only_or_stale_candidate,0,32768,24576,,
qms_quality_policy,migration_only_or_stale_candidate,0,40960,32768,,
qms_risk_controls,migration_only_or_stale_candidate,0,40960,32768,,
qms_supplier_documents,migration_only_or_stale_candidate,0,40960,32768,,
qms_supplier_scopes,migration_only_or_stale_candidate,0,40960,32768,,
qms_task_assignments,migration_only_or_stale_candidate,0,40960,32768,,
qms_task_comments,migration_only_or_stale_candidate,0,40960,32768,,
qms_tasks,migration_only_or_stale_candidate,0,40960,32768,,
qms_training_courses,migration_only_or_stale_candidate,0,40960,32768,,
qms_training_records,migration_only_or_stale_candidate,0,40960,32768,,
qms_training_requirements,migration_only_or_stale_candidate,0,40960,32768,,
quality_tenant_backfill_issues,migration_only_or_stale_candidate,0,24576,16384,,
